Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
057260       F    No     00000005-00000018       14
057971       F    No     00000019-0000002C       14
057AA0       F    No     0000002D-00000040       14
0786ED       1    No     00000041-00000046        6
0786F6       1    No     00000047-0000004C        6
0786FF       1    No     0000004D-00000052        6
078708       1    No     00000053-00000058        6
07871A       1    No     00000059-0000005E        6
078723       1    No     0000005F-00000064        6
07872C       1    No     00000065-0000006A        6
078762       1    No     0000006B-00000070        6
07876B       1    No     00000071-00000076        6
078774       1    No     00000077-0000007C        6
07877D       1    No     0000007D-00000082        6
07878F       1    No     00000083-00000088        6
0787A1       1    No     00000089-0000008E        6
0787BC       1    No     0000008F-00000094        6
0787C5       1    No     00000095-0000009A        6
0787E0       1    No     0000009B-000000A0        6
0787FB       1    No     000000A1-000000A6        6
07885E       1    No     000000A7-000000AC        6
078867       1    No     000000AD-000000B2        6
078879       1    No     000000B3-000000B8        6
078906       7    No     000000B9-000000C4        C
0789AE       D    No     000000C5-000000D6       12
0789C6      19    No     000000D7-000000F4       1E
0789F6      19    No     000000F5-00000112       1E
078A1A       1    No     00000113-00000118        6
078A4A      13    No     00000119-00000130       18
078AD4       D    No     00000131-00000142       12
078AEC       7    No     00000143-0000014E        C
078B04       7    No     0000014F-0000015A        C
078B16      13    No     0000015B-00000172       18
07B1B7       1    No     00000173-00000178        6
07B1C9       1    No     00000179-0000017E        6
07B1E1       1    No     0000017F-00000184        6
07B1F4       1    No     00000185-0000018A        6
07B207       1    No     0000018B-00000190        6
07B21A       1    No     00000191-00000196        6
07B29F       1    No     00000197-0000019C        6
07B2B0       1    No     0000019D-000001A2        6
07B2C4       1    No     000001A3-000001A8        6
07B2D6       1    No     000001A9-000001AE        6
07B2E9       1    No     000001AF-000001B4        6
07B2FB       1    No     000001B5-000001BA        6
07B304       1    No     000001BB-000001C0        6
07B30E       1    No     000001C1-000001C6        6
07B316       1    No     000001C7-000001CC        6
07B32E       1    No     000001CD-000001D2        6
07B33B       1    No     000001D3-000001D8        6
07B344       1    No     000001D9-000001DE        6
07B350       1    No     000001DF-000001E4        6
07B362       1    No     000001E5-000001EA        6
07B374       1    No     000001EB-000001F0        6
07B387       1    No     000001F1-000001F6        6
07B3B4       1    No     000001F7-000001FC        6
------    ----    EOF    000001FD-000001FF        3

Total Patches: 38 (56)
