Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
010B4F       5    No     00000005-0000000E        A
010C8B       B    No     0000000F-0000001E       10
01104A       3    No     0000001F-00000026        8
0110EF       8    No     00000027-00000033        D
011153       1    No     00000034-00000039        6
01116D       2    No     0000003A-00000040        7
016AA2       8    No     00000041-0000004D        D
017523       1    No     0000004E-00000053        6
01754D       2    No     00000054-0000005A        7
017567      14    No     0000005B-00000073       19
017B4D       5    No     00000074-0000007D        A
017B61       3    No     0000007E-00000085        8
017FFC       4    No     00000086-0000008E        9
01F547       3    No     0000008F-00000096        8
0687F0      22    No     00000097-000000BD       27
06FFA0       2    No     000000BE-000000C4        7
06FFAD       1    No     000000C5-000000CA        6
07CA02      1E    No     000000CB-000000ED       23
07CA26     261    No     000000EE-00000353      266
07CC8E      84    No     00000354-000003DC       89
07CD1A       E    No     000003DD-000003EF       13
07CD3E      36    No     000003F0-0000042A       3B
07CD7A       6    No     0000042B-00000435        B
07CE39       1    No     00000436-0000043B        6
07CE42       1    No     0000043C-00000441        6
07CE50       7    No     00000442-0000044D        C
07CEC5       1    No     0000044E-00000453        6
07CF2C       B    No     00000454-00000463       10
107165       1    No     00000464-00000469        6
10716E       E    No     0000046A-0000047C       13
107D10       4    No     0000047D-00000485        9
107D1E       2    No     00000486-0000048C        7
107DE9       B    No     0000048D-0000049C       10
10CC7B       2    No     0000049D-000004A3        7
145C00      E0    No     000004A4-00000588       E5
145E00     100    No     00000589-0000068D      105
146000     990    No     0000068E-00001022      995
1469A0      C0    No     00001023-000010E7       C5
146A80     410    No     000010E8-000014FC      415
146EA0      5A    No     000014FD-0000155B       5F
146F00     680    No     0000155C-00001BE0      685
1475A0      E0    No     00001BE1-00001CC5       E5
1476A0     1E0    No     00001CC6-00001EAA      1E5
1478A0      20    No     00001EAB-00001ECF       25
1478E0      60    No     00001ED0-00001F34       65
147960     140    No     00001F35-00002079      145
147AE0      20    No     0000207A-0000209E       25
147B20      40    No     0000209F-000020E3       45
147B80      E0    No     000020E4-000021C8       E5
147D20     100    No     000021C9-000022CD      105
147E40      20    No     000022CE-000022F2       25
147E80      20    No     000022F3-00002317       25
147EC0      20    No     00002318-0000233C       25
147F00      1F    No     0000233D-00002360       24
147F40      20    No     00002361-00002385       25
147F80      20    No     00002386-000023AA       25
147FC0      20    No     000023AB-000023CF       25
148004      78    No     000023D0-0000244C       7D
14807E       A    Yes    0000244D-00002454        8
14808A      86    No     00002455-000024DF       8B
148116      1A    No     000024E0-000024FE       1F
148130       E    Yes    000024FF-00002506        8
14813E       2    No     00002507-0000250D        7
148140       8    Yes    0000250E-00002515        8
14814E       1    No     00002516-0000251B        6
148150      2E    Yes    0000251C-00002523        8
148180      30    No     00002524-00002558       35
1481B0      10    Yes    00002559-00002560        8
1481C0      C8    No     00002561-0000262D       CD
148290       7    No     0000262E-00002639        C
1482A0       9    No     0000263A-00002647        E
1482A9      17    Yes    00002648-0000264F        8
1482C0      32    No     00002650-00002686       37
1482F2      18    Yes    00002687-0000268E        8
14830A      56    No     0000268F-000026E9       5B
148360       B    Yes    000026EA-000026F1        8
14836E       1    No     000026F2-000026F7        6
148370      10    Yes    000026F8-000026FF        8
148380     16B    No     00002700-0000286F      170
1484EB      16    Yes    00002870-00002877        8
148501      3F    No     00002878-000028BB       44
148549     588    No     000028BC-00002E48      58D
148AD1      3B    Yes    00002E49-00002E50        8
148B0C       3    No     00002E51-00002E58        8
148B10       F    Yes    00002E59-00002E60        8
148B20      71    No     00002E61-00002ED6       76
148B9A     1D5    No     00002ED7-000030B0      1DA
148D6F       F    Yes    000030B1-000030B8        8
148D7E     262    No     000030B9-0000331F      267
148FE0      20    Yes    00003320-00003327        8
149000      92    No     00003328-000033BE       97
149092       E    Yes    000033BF-000033C6        8
1490A0      53    No     000033C7-0000341E       58
1490F3       E    Yes    0000341F-00003426        8
149108     1F2    No     00003427-0000361D      1F7
1492FA      12    Yes    0000361E-00003625        8
14930C       4    No     00003626-0000362E        9
149310       F    Yes    0000362F-00003636        8
14931F      91    No     00003637-000036CC       96
1493B0       E    Yes    000036CD-000036D4        8
1493BE     373    No     000036D5-00003A4C      378
149740      3E    No     00003A4D-00003A8F       43
14977E      10    Yes    00003A90-00003A97        8
14978E       1    No     00003A98-00003A9D        6
14978F      1A    Yes    00003A9E-00003AA5        8
1497AA      16    No     00003AA6-00003AC0       1B
1497C8       8    No     00003AC1-00003ACD        D
1497D8       7    No     00003ACE-00003AD9        C
1497E6      5F    No     00003ADA-00003B3D       64
14984C       4    No     00003B3E-00003B46        9
14985E      92    No     00003B47-00003BDD       97
1498F6     27C    No     00003BDE-00003E5E      281
149B72       E    Yes    00003E5F-00003E66        8
149B80      3A    No     00003E67-00003EA5       3F
149BC0      28    No     00003EA6-00003ED2       2D
149BF0       2    No     00003ED3-00003ED9        7
149BF2       E    Yes    00003EDA-00003EE1        8
149C00      20    No     00003EE2-00003F06       25
149C26      11    Yes    00003F07-00003F0E        8
149C44     29B    No     00003F0F-000041AE      2A0
149EE0      19    Yes    000041AF-000041B6        8
149F00      33    No     000041B7-000041EE       38
149F3C      69    No     000041EF-0000425C       6E
149FAB      1C    Yes    0000425D-00004264        8
149FC8       1    No     00004265-0000426A        6
149FC9      17    Yes    0000426B-00004272        8
149FE0       B    No     00004273-00004282       10
149FEB      15    Yes    00004283-0000428A        8
14A000      47    No     0000428B-000042D6       4C
14A047      67    Yes    000042D7-000042DE        8
14A0AE       1    No     000042DF-000042E4        6
14A0AF      15    Yes    000042E5-000042EC        8
14A0C4     36B    No     000042ED-0000465C      370
14A430      10    Yes    0000465D-00004664        8
14A440      A1    No     00004665-0000470A       A6
14A4E1      48    Yes    0000470B-00004712        8
14A52A      66    No     00004713-0000477D       6B
14A598       3    No     0000477E-00004785        8
14A59C      28    Yes    00004786-0000478D        8
14A5C4      9C    No     0000478E-0000482E       A1
14A660      2C    Yes    0000482F-00004836        8
14A68C       3    No     00004837-0000483E        8
14A68F       F    Yes    0000483F-00004846        8
14A69E      81    No     00004847-000048CC       86
14A71F      21    Yes    000048CD-000048D4        8
14A740      9F    No     000048D5-00004978       A4
14A7DF      21    Yes    00004979-00004980        8
14A800     12B    No     00004981-00004AB0      130
14A92B      15    Yes    00004AB1-00004AB8        8
14A940      37    No     00004AB9-00004AF4       3C
14A977      15    Yes    00004AF5-00004AFC        8
14A98C       3    No     00004AFD-00004B04        8
14A98F       F    Yes    00004B05-00004B0C        8
14A99E     2EA    No     00004B0D-00004DFB      2EF
14ACA0      78    No     00004DFC-00004E78       7D
14AD1E      42    Yes    00004E79-00004E80        8
14AD60       1    No     00004E81-00004E86        6
14AD62      1D    Yes    00004E87-00004E8E        8
14AD80      41    No     00004E8F-00004ED4       46
14ADD8      28    Yes    00004ED5-00004EDC        8
14AE00      9F    No     00004EDD-00004F80       A4
14AE9F      20    Yes    00004F81-00004F88        8
14AEC0     227    No     00004F89-000051B4      22C
14B0EF      11    Yes    000051B5-000051BC        8
14B100      9F    No     000051BD-00005260       A4
14B19F      21    Yes    00005261-00005268        8
14B1C0      47    No     00005269-000052B4       4C
14B207      19    Yes    000052B5-000052BC        8
14B220      4F    No     000052BD-00005310       54
14B26F      15    Yes    00005311-00005318        8
14B284     4D3    No     00005319-000057F0      4D8
14B760      46    No     000057F1-0000583B       4B
14B7B0       F    Yes    0000583C-00005843        8
14B7C0      4F    No     00005844-00005897       54
14B80F      10    Yes    00005898-0000589F        8
14B820      4F    No     000058A0-000058F3       54
14B86F      11    Yes    000058F4-000058FB        8
14B880       F    No     000058FC-0000590F       14
14B88F      11    Yes    00005910-00005917        8
14B8A0      9D    No     00005918-000059B9       A2
14B93D      11    Yes    000059BA-000059C1        8
14B94E       1    No     000059C2-000059C7        6
14B94F      10    Yes    000059C8-000059CF        8
14B960       F    No     000059D0-000059E3       14
14B96F      11    Yes    000059E4-000059EB        8
14B980      61    No     000059EC-00005A51       66
14B9E1      1E    Yes    00005A52-00005A59        8
14BA00      11    No     00005A5A-00005A6F       16
14BA17      59    No     00005A70-00005ACD       5E
14BA78      2A    No     00005ACE-00005AFC       2F
14BAA8      18    Yes    00005AFD-00005B04        8
14BAC0      A0    No     00005B05-00005BA9       A5
14BB60      20    Yes    00005BAA-00005BB1        8
14BB80      AF    No     00005BB2-00005C65       B4
14BC2F      11    Yes    00005C66-00005C6D        8
14BC40      C1    No     00005C6E-00005D33       C6
14BD01      1F    Yes    00005D34-00005D3B        8
14BD20      A0    No     00005D3C-00005DE0       A5
14BDC0      20    Yes    00005DE1-00005DE8        8
14BDE0      18    No     00005DE9-00005E05       1D
14BE00      78    No     00005E06-00005E82       7D
14BE78      10    Yes    00005E83-00005E8A        8
14BE88     1EF    No     00005E8B-0000607E      1F4
14C080     3BA    No     0000607F-0000643D      3BF
14C440      3C    No     0000643E-0000647E       41
14C47C      3C    Yes    0000647F-00006486        8
14C4C8      58    No     00006487-000064E3       5D
14C520      27    Yes    000064E4-000064EB        8
14C548       B    No     000064EC-000064FB       10
14C55C       4    No     000064FC-00006504        9
14C568       7    No     00006505-00006510        C
14C577     3DE    No     00006511-000068F3      3E3
14C960       F    No     000068F4-00006907       14
14C96F       E    Yes    00006908-0000690F        8
14C980      41    No     00006910-00006955       46
14C9C1      1A    Yes    00006956-0000695D        8
14C9E0      2B    No     0000695E-0000698D       30
14CA0B      15    Yes    0000698E-00006995        8
14CA20       5    No     00006996-0000699F        A
14CA25      1B    Yes    000069A0-000069A7        8
14CA40      2D    No     000069A8-000069D9       32
14CA6D      15    Yes    000069DA-000069E1        8
14CA82     39D    No     000069E2-00006D83      3A2
