Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
000000    1E89    No     00000005-00001E92     1E8E
001E89      79    Yes    00001E93-00001E9A        8
001F02    5E4A    No     00001E9B-00007CE9     5E4F
007D4C      25    Yes    00007CEA-00007CF1        8
007D71       A    No     00007CF2-00007D00        F
007D7B      19    Yes    00007D01-00007D08        8
007D94      83    No     00007D09-00007D90       88
007E17      99    Yes    00007D91-00007D98        8
007EB0      8D    No     00007D99-00007E2A       92
007F3D       F    Yes    00007E2B-00007E32        8
007F59      44    No     00007E33-00007E7B       49
007F9D      1F    Yes    00007E7C-00007E83        8
007FBC    10BF    No     00007E84-00008F47     10C4
009087    668D    No     00008F48-0000F5D9     6692
00F71C    E50E    No     0000F5DA-0001DAEC     E513
01DC3B    1D33    No     0001DAED-0001F824     1D38
01F96E      11    Yes    0001F825-0001F82C        8
01F97F    1D60    No     0001F82D-00021591     1D65
0216DF      11    Yes    00021592-00021599        8
0216F0     14A    No     0002159A-000216E8      14F
02183A      1A    Yes    000216E9-000216F0        8
021854     11D    No     000216F1-00021812      122
021977     45F    No     00021813-00021C76      464
021DD6      22    Yes    00021C77-00021C7E        8
021DF8      18    No     00021C7F-00021C9B       1D
021E10      1A    Yes    00021C9C-00021CA3        8
021E2A      A3    No     00021CA4-00021D4B       A8
021ECD      1B    Yes    00021D4C-00021D53        8
021EE8      B0    No     00021D54-00021E08       B5
021F98      12    Yes    00021E09-00021E10        8
021FAA      1F    No     00021E11-00021E34       24
021FC9       F    Yes    00021E35-00021E3C        8
021FD8     111    No     00021E3D-00021F52      116
0220E9       C    Yes    00021F53-00021F5A        8
0220F5      22    Yes    00021F5B-00021F62        8
022117       2    No     00021F63-00021F69        7
022119      F7    Yes    00021F6A-00021F71        8
022210     3B9    No     00021F72-0002232F      3BE
0225CF     14B    No     00022330-0002247F      150
022720    122C    No     00022480-000236B0     1231
02394C      7C    Yes    000236B1-000236B8        8
